annual_value,contract_type,employee_id,id,status
145000,Permanent,em1,con1,Active
120000,Permanent,em2,con2,Active
115000,Permanent,em3,con3,Active
102000,Contractor,em4,con4,Active
140000,Permanent,em5,con5,Active
81600,Contractor,em6,con6,Active
95000,Permanent,em7,con7,Active
78000,Permanent,em8,con8,Active
98000,Permanent,em9,con9,Active
74400,Contractor,em10,con10,Active
88000,Permanent,em11,con11,Expired
118000,Permanent,em12,con12,Active
145000,Permanent,em1,con1,Active
120000,Permanent,em2,con2,Active
115000,Permanent,em3,con3,Active
102000,Contractor,em4,con4,Active
140000,Permanent,em5,con5,Active
81600,Contractor,em6,con6,Active
95000,Permanent,em7,con7,Active
78000,Permanent,em8,con8,Active
98000,Permanent,em9,con9,Active
74400,Contractor,em10,con10,Active
88000,Permanent,em11,con11,Expired
118000,Permanent,em12,con12,Active
