id,name,priority,project_id,status
ms1,Architecture Design,High,pr1,Completed
ms2,Implementation,High,pr1,Active
ms3,Testing,Medium,pr1,Pending
ms4,UX Research,Medium,pr2,Completed
ms5,Development,High,pr2,Active
ms6,Market Analysis,High,pr3,Active
ms7,Launch Plan,Medium,pr3,Pending
ms8,Procurement,High,pr5,Completed
ms9,Integration,High,pr5,Active
ms10,Schema Design,High,pr7,Completed
ms11,ETL Pipeline,High,pr7,Active
ms12,Reporting,Low,pr7,Pending
ms1,Architecture Design,High,pr1,Completed
ms2,Implementation,High,pr1,Active
ms3,Testing,Medium,pr1,Pending
ms4,UX Research,Medium,pr2,Completed
ms5,Development,High,pr2,Active
ms6,Market Analysis,High,pr3,Active
ms7,Launch Plan,Medium,pr3,Pending
ms8,Procurement,High,pr5,Completed
ms9,Integration,High,pr5,Active
ms10,Schema Design,High,pr7,Completed
ms11,ETL Pipeline,High,pr7,Active
ms12,Reporting,Low,pr7,Pending
