currency,id,priority,status,total_amount,vendor_id
USD,po1,High,Delivered,45000,ve1
USD,po2,Medium,Processing,32000,ve1
EUR,po3,Low,Delivered,18500,ve2
GBP,po4,High,Active,89000,ve3
GBP,po5,Medium,Completed,54000,ve3
EUR,po6,Low,Active,12000,ve4
CAD,po7,High,Completed,28000,ve5
CAD,po8,Medium,Processing,19500,ve5
USD,po1,High,Delivered,45000,ve1
USD,po2,Medium,Processing,32000,ve1
EUR,po3,Low,Delivered,18500,ve2
GBP,po4,High,Active,89000,ve3
GBP,po5,Medium,Completed,54000,ve3
EUR,po6,Low,Active,12000,ve4
CAD,po7,High,Completed,28000,ve5
CAD,po8,Medium,Processing,19500,ve5
