currency,customer_id,id,priority,status,total_amount
USD,cu1,or1,High,Delivered,12500
USD,cu1,or2,Medium,Processing,8300
EUR,cu2,or3,Low,Delivered,4200
GBP,cu3,or4,High,Shipped,9800
EUR,cu4,or5,Low,Cancelled,1500
CAD,cu5,or6,Medium,Delivered,6700
JPY,cu7,or7,High,Processing,280000
USD,cu8,or8,High,Delivered,22000
USD,cu8,or9,Medium,Shipped,15600
GBP,cu3,or10,Low,Processing,5400
USD,cu1,or1,High,Delivered,12500
USD,cu1,or2,Medium,Processing,8300
EUR,cu2,or3,Low,Delivered,4200
GBP,cu3,or4,High,Shipped,9800
EUR,cu4,or5,Low,Cancelled,1500
CAD,cu5,or6,Medium,Delivered,6700
JPY,cu7,or7,High,Processing,280000
USD,cu8,or8,High,Delivered,22000
USD,cu8,or9,Medium,Shipped,15600
GBP,cu3,or10,Low,Processing,5400
